〇	[〇_j]
厬	[厂日夊卜口_gg_k_rs_id_j]
厭	[厂日⺝大丶_gg_k_q_gd_s]
厮	[厂其斤_gg_ec_pd]
厯	[厂木木乚⺀_gg_f_f_z_td]
厰	[厂⺌{冋}攵_gg_ko_ld_mo]
厱	[厂人一口口人人_gg_od_a_j_j_od_od]
厲	[厂艹日冂{厶}_gg_e_k_ld_zs]
厳	[⺍厂乛耳攵_vd_gg_x_ce_mo]
厴	[厂日⺝大丶甲_gg_k_q_gd_s_kib]
厵	[厂白小厂白小厂白小_gg_nk_ko_gg_nk_ko_gg_nk_ko]
厶	[厶_zs]
厷	[𠂇厶_gd_zs]
厸	[厶厶_zs_zs]
厹	[九厶_qy_zs]
厺	[大厶_gd_zs]
去	[土厶_b_zs]
厼	[厶小_zs_ko]
厽	[厶厶厶_zs_zs_zs]
厾	[⺄土厶_yda_b_zs]
县	[且厶_lc_zs]
叀	[一由厶_a_kia_zs]
叁	[厶大三_zs_gd_cd]
参	[厶大彡_zs_gd_pd]
參	[厶厶厶人彡_zs_zs_zs_od_pd]
叄	[厶厶厶人三_zs_zs_zs_od_cd]
叅	[厶厶厶人⺗_zs_zs_zs_od_u]
叆	[二厶爫冖𠂇又_bd_zs_pv_ww_gd_xs]
叇	[二厶辶⺕氺_bd_zs_w_xb_kv]
又	[又_xs]
叉	[又丶_xs_s]
及	[㇋丿㇏_y_m_s]
友	[𠂇又_gd_xs]
双	[又又_xs_xs]
反	[⺁又_pd_xs]
収	[丩又_zi_xs]
叏	[{叏上}又_x_xs]
叐	[丿𠂇又_m_gd_xs]
发	[㇜丿又丶_z_m_xs_s]
叒	[又又又_xs_xs_xs]
叓	[一口丨又_a_j_i_xs]
叔	[⺊一小又_id_a_ko_xs]
叕	[又又又又_xs_xs_xs_xs]
取	[耳又_ce_xs]
受	[爫冖又_pv_ww_xs]
变	[{变上}又_sk_xs]
叙	[人{余下}又_od_mf_xs]
叚	[Ｐ二コ又_x_bd_x_xs]
叛	[半⺁又_ub_pd_xs]
叜	[宀火又_wd_uo_xs]
叝	[土厶卩又_b_zs_y_xs]
叞	[尸示又_xm_bk_xs]
叟	[{叟上}又_nb_xs]
叠	[又又又冖且_xs_xs_xs_ww_lc]
叡	[⺊冖一八人目又_id_ww_a_o_od_l_xs]
叢	[业{幸下}耳又_ku_ub_ce_xs]
口	[口_j]
古	[十口_ed_j]
句	[勹口_ry_j]
另	[口力_j_ym]
叧	[口刀_j_yd]
叨	[口刀_j_yd]
叩	[口卩_j_y]
只	[口八_j_o]
叫	[口丩_j_zi]
召	[刀口_yd_j]
叭	[口八_j_o]
叮	[口丁_j_ai]
可	[丁口_ai_j]
台	[厶口_zs_j]
叱	[口𠤎_j_rr]
史	[口乂_j_os]
右	[𠂇口_gd_j]
叴	[九口_qy_j]
叵	[匚口_h_j]
叶	[口十_j_ed]
号	[口一㇉_j_a_z]
司	[㇆一口_y_a_j]
叹	[口又_j_xs]
叺	[口入_j_oda]
叻	[口力_j_ym]
叼	[口㇆㇀_j_y_a]
叽	[口几_j_qd]
叾	[了口_y_j]
叿	[口工_j_bi]
吀	[口千_j_me]
吁	[口一{于下}_j_a_d]
吂	[亡口_sh_j]
吃	[口𠂉乙_j_ma_yda]
各	[夂口_rs_j]
吅	[口口_j_j]
吆	[口㇜厶_j_z_zs]
吇	[口子_j_ya]
合	[人一口_od_a_j]
吉	[士口_b_j]
吊	[口巾_j_li]
吋	[口寸_j_ds]
同	[同_ld]
名	[夕口_rs_j]
后	[⺁一口_pd_a_j]
吏	[一口乂_a_j_os]
吐	[口土_j_b]
向	[{向框}口_nl_j]
吒	[口丿七_j_m_hd]
吓	[口一卜_j_a_id]
吔	[口也_j_yi]
吕	[口口_j_j]
吖	[口丷丨_j_ud_i]
吗	[口马_j_x]
吘	[口𠂉十_j_ma_ed]
吙	[口火_j_uo]
吚	[口尹_j_xma]
君	[尹口_xma_j]
吜	[口ユ十_j_x_ed]
吝	[文口_so_j]
吞	[一大口_a_gd_j]
吟	[口人丶㇇_j_od_s_x]
吠	[口大丶_j_gd_s]
吡	[口匕匕_j_rr_rr]
吢	[心口_wz_j]
吣	[口心_j_wz]
吤	[口人{丿丨}_j_od_nd]
吥	[口不_j_gi]
否	[不口_gi_j]
吧	[口巴_j_yia]
吨	[口七凵_j_hd_zi]
吩	[口八刀_j_o_yd]
吪	[口亻𠤎_j_n_rr]
含	[人丶㇇口_od_s_x_j]
听	[口斤_j_pd]
吭	[口亠几_j_s_qd]
吮	[口厶儿_j_zs_rd]
启	[户口_wm_j]
吰	[口𠂇厶_j_gd_zs]
吱	[口十又_j_ed_xs]
吲	[口弓丨_j_yz_i]
吳	[口㇞大_j_z_gd]
吴	[口一大_j_a_gd]
吵	[口小丿_j_ko_m]
吶	[口冂入_j_ld_oda]
吷	[口㇕大_j_x_gd]
吸	[口㇋丿㇏_j_y_m_s]
吹	[口欠_j_ro]
吺	[口殳_j_qx]
吻	[口勹{丿丿}_j_ry_od]
吼	[口子乚_j_ya_z]
吽	[口牛_j_mb]
吾	[工㇕口_bi_x_j]
吿	[牛口_mb_j]
呀	[口牙_j_hi]
呁	[口勹冫_j_ry_td]
呂	[口{囟框}_j_nj]
呃	[口厂㔾_j_gg_yyb]
呄	[㇡丿十口_y_m_ed_j]
呅	[口文_j_so]
呆	[口木_j_f]
呇	[水口_kv_j]
呈	[口王_j_c]
呉	[口㇞一八_j_z_a_o]
告	[⺧口_mb_j]
呋	[口二人_j_bd_od]
呌	[口⺀十_j_td_ed]
呍	[口二厶_j_bd_zs]
呎	[口尸㇏_j_xm_s]
呏	[口丿廾_j_m_e]
呐	[口冂人_j_ld_od]
呑	[丿大口_m_gd_j]
呒	[口一尢_j_a_gr]
呓	[口艹乙_j_e_yda]
呔	[口大丶_j_gd_s]
呕	[口匸㐅_j_h_os]
呖	[口厂力_j_gg_ym]
呗	[口贝_j_lo]
员	[口贝_j_lo]
呙	[口冂人_j_ld_od]
呚	[口攵_j_mo]
呛	[口人㔾_j_od_yyb]
呜	[口乌_j_rza]
呝	[口户乙_j_wm_yda]
呞	[口㇆一口_j_y_a_j]
呟	[口亠㇜厶_j_s_z_zs]
呠	[口木一_j_f_a]
呡	[口{巳}{七}_j_yyb_hd]
呢	[口尸匕_j_xm_rr]
呣	[口母_j_zy]
呤	[口人{之}_j_od_w]
呥	[口冂土_j_ld_b]
呦	[口㇜厶力_j_z_zs_ym]
呧	[口氏丶_j_rh_s]
周	[⺆土口_ld_b_j]
呩	[口示_j_bk]
呪	[口口儿_j_j_rd]
呫	[口⺊口_j_id_j]
呬	[口四_j_lk]
呭	[口廿㇗_j_ea_z]
呮	[口口八_j_j_o]
呯	[口一{伞下}_j_a_ua]
呰	[止匕口_ii_rr_j]
呱	[口瓜_j_ps]
呲	[口止匕_j_ii_rr]
味	[口二小_j_bd_ko]
呴	[口勹口_j_ry_j]
呵	[口丁口_j_ai_j]
呶	[口女又_j_zm_xs]
呷	[口甲_j_kib]
呸	[口不一_j_gi_a]
呹	[口{牛}人_j_mb_od]
呺	[口口一㇉_j_j_a_z]
呻	[口申_j_kic]
呼	[口丿{乎下}_j_m_ua]
命	[人一口卩_od_a_j_y]
呾	[口日一_j_k_a]
呿	[口土厶_j_b_zs]
咀	[口且_j_lc]
咁	[口甘_j_eb]
咂	[口匚巾_j_h_li]
咃	[口亻也_j_n_yi]
咄	[口屮凵_j_zi_zi]
咅	[立口_su_j]
咆	[口包_j_ry]
咇	[口心丿_j_wz_m]
咈	[口弓{丿丨}_j_yz_nd]
咉	[口冂大_j_ld_gd]
咊	[口禾_j_mf]
咋	[口𠂉ㅑ_j_ma_id]
和	[禾口_mf_j]
咍	[口厶口_j_zs_j]
咎	[夊卜口_rs_id_j]
咏	[口永_j_sk]
咐	[口亻寸_j_n_ds]
咑	[口扌丁_j_d_ai]
咒	[口口几_j_j_qd]
咓	[口一㇙㇈丶_j_a_z_yda_s]
咔	[口⺊一卜_j_id_a_id]
咕	[口十口_j_ed_j]
咖	[口力口_j_ym_j]
咗	[口𠂇工_j_gd_bi]
咘	[口𠂇巾_j_gd_li]
咙	[口龙_j_gm]
咚	[口夂⺀_j_rs_td]
咛	[口宀丁_j_wd_ai]
咜	[口宀匕_j_wd_rr]
咝	[口㇜㇜㇜㇜一_j_z_z_z_z_a]
咞	[口一廾_j_a_e]
咟	[口一白_j_a_nk]
咠	[口耳_j_ce]
咡	[口耳_j_ce]
咢	[口口二㇉_j_j_bd_z]
咣	[口⺌兀_j_ko_gr]
咤	[口宀丿七_j_wd_m_hd]
咥	[口至_j_hb]
咦	[口大弓_j_gd_yz]
咧	[口一夕刂_j_a_rs_kd]
咨	[冫欠口_td_ro_j]
咩	[口羊_j_uc]
咪	[口米_j_uf]
咫	[尸㇏口八_xm_s_j_o]
咬	[口亠八乂_j_s_o_os]
咭	[口士口_j_b_j]
咮	[口{牛}小_j_mb_ko]
咯	[口夂口_j_rs_j]
咰	[口勹日_j_ry_k]
咱	[口自_j_nl]
咲	[口䒑大_j_ua_gd]
咳	[口亠{亥中}人_j_s_zm_od]
咴	[口𠂇火_j_gd_uo]
咵	[口大二㇉_j_gd_bd_z]
咶	[口舌_j_mi]
咷	[口∷儿_j_v_rd]
咸	[戊一口_hm_a_j]
咹	[口宀女_j_wd_zm]
咺	[口二日_j_bd_k]
咻	[口亻木_j_n_f]
咼	[咼_lj]
咽	[口因_j_jd]
咾	[口耂匕_j_bm_rr]
咿	[口亻尹_j_n_xma]
哀	[亠口𧘇_s_j_rh]
品	[口口口_j_j_j]
哂	[口西_j_fj]
哃	[口同_j_ld]
哄	[口龷八_j_ea_o]
哅	[口勹㐅凵_j_ry_os_zi]
哆	[口夕夕_j_rs_rs]
哇	[口土土_j_b_b]
哈	[口人一口_j_od_a_j]
哉	[𢦏口_eh_j]
哊	[口𠂇⺝_j_gd_q]
哋	[口土也_j_b_yi]
哌	[口⺁𧘇_j_pd_rh]
响	[口{向框}口_j_nl_j]
哎	[口艹乂_j_e_os]
哏	[口艮_j_xo]
哐	[口匚王_j_h_c]
哑	[口一业_j_a_ku]
哒	[口辶大_j_w_gd]
哓	[口{戈}兀_j_hm_gr]
哔	[口匕匕十_j_rr_rr_ed]
哕	[口山夕_j_ll_rs]
哖	[口𠂉ヰ_j_ma_mb]
哗	[口亻𠤎十_j_n_rr_ed]
哘	[口行_j_oi]
哙	[口人二厶_j_od_bd_zs]
哚	[口几木_j_qd_f]
哛	[口匕八刀_j_rr_o_yd]
哜	[口文{丿丨}_j_so_nd]
哝	[口冖𧘇_j_ww_rh]
哞	[口厶牛_j_zs_mb]
哟	[口纟勹丶_j_z_ry_s]
哠	[口⺧口_j_mb_j]
員	[口貝_j_lo]
哢	[口王廾_j_c_e]
哣	[口一口䒑_j_a_j_ua]
哤	[口尨_j_gm]
哥	[丁口丁口_ai_j_ai_j]
哦	[口手戈_j_md_hm]
哧	[口土{丿亅}八_j_b_nd_o]
哨	[口⺌⺝_j_ko_q]
哩	[口日土_j_k_b]
哪	[口㇆{キ}阝_j_y_bi_y]
哫	[口足_j_ji]
哬	[口亻丁口_j_n_ai_j]
哭	[口口大丶_j_j_gd_s]
哮	[口耂子_j_bm_ya]
哯	[口見_j_lr]
哰	[口宀牛_j_wd_mb]
哱	[口十冖子_j_ed_ww_ya]
哲	[扌斤口_d_pd_j]
哳	[口扌斤_j_d_pd]
哴	[口丶艮_j_s_xo]
哵	[口口力刂_j_j_ym_kd]
哶	[口丨一⺊一十_j_i_a_id_a_ed]
哷	[口爫寸_j_pv_ds]
哸	[口爫女_j_pv_zm]
哹	[口爫子_j_pv_ya]
哺	[口甫_j_fb]
哻	[口日一十_j_k_a_ed]
哼	[口亠口了_j_s_j_y]
哽	[口一日乂_j_a_k_os]
哾	[口丷口儿_j_ud_j_rd]
哿	[力口丁口_ym_j_ai_j]
唀	[口禾㇡丿_j_mf_y_m]
唁	[口言_j_s]
唂	[口八人口_j_o_od_j]
唃	[口⺈{用}_j_r_ld]
唄	[口貝_j_lo]
唅	[口人丶㇇口_j_od_s_x_j]
唆	[口厶八夊_j_zs_o_rs]
唇	[辰口_gh_j]
唈	[口口巴_j_j_yia]
唉	[口厶矢_j_zs_ma]
唊	[口大人人_j_gd_od_od]
唋	[口人{余下}_j_od_mf]
唌	[口廴丿止_j_y_m_ii]
唍	[口宀二儿_j_wd_bd_rd]
唎	[口禾刂_j_mf_kd]
唏	[口㐅𠂇巾_j_os_gd_li]
唐	[广肀口_tg_xb_j]
唑	[口人人土_j_od_od_b]
唒	[口酉_j_fd]
唓	[口車_j_fk]
唔	[口工㇕口_j_bi_x_j]
唕	[口白十_j_nk_ed]
唖	[口二口〢_j_bd_j_kd]
唗	[口走_j_bo]
唘	[石又口_g_xs_j]
唙	[口犭火_j_qm_uo]
唚	[口⺕冖又_j_xb_ww_xs]
唛	[口龶夊_j_ci_rs]
唜	[一木口匕_a_f_j_rr]
唝	[口工贝_j_bi_lo]
唞	[口扌⺀十_j_d_td_ed]
唟	[土厶口匕_b_zs_j_rr]
唠	[口艹冖力_j_e_ww_ym]
唡	[口一冂人人_j_a_ld_od_od]
唢	[口⺌贝_j_ko_lo]
唣	[口白七_j_nk_hd]
唤	[口⺈冂大_j_r_ld_gd]
唥	[口冫人{之}_j_td_od_w]
唦	[口氵小丿_j_v_ko_m]
唧	[口{艮}卩_j_xo_y]
唨	[口阝且_j_y_lc]
唩	[口禾女_j_mf_zm]
唪	[口𡗗キ_j_co_bi]
唫	[口金_j_p]
唬	[口虎_j_ih]
唭	[口其_j_ec]
售	[隹口_ni_j]
唯	[口隹_j_ni]
唰	[口尸巾刂_j_xm_li_kd]
唱	[口日日_j_k_k]
唲	[口臼儿_j_nb_rd]
唳	[口户大丶_j_wm_gd_s]
唴	[口⺶乚_j_uc_z]
唵	[口大日乚_j_gd_k_z]
唶	[口龷日_j_ea_k]
唷	[口亠厶⺝_j_s_zs_q]
唸	[口人丶㇇心_j_od_s_x_wz]
唹	[口方人⺀_j_sy_od_td]
唺	[口冂龷八_j_ld_ea_o]
唻	[口木人人_j_f_od_od]
唼	[口立女_j_su_zm]
唽	[口木斤_j_f_pd]
唾	[口千艹{二}_j_me_e_bd]
唿	[口勹{丿丿}心_j_ry_od_wz]
啀	[口厂土土_j_gg_b_b]
啁	[口⺆土口_j_ld_b_j]
啂	[口爫子乚_j_pv_ya_z]
啃	[口止⺝_j_ii_q]
啄	[口豕丶_j_gq_s]
啅	[口⺊日十_j_id_k_ed]
商	[亠丷{冏}_s_ud_ld]
啇	[亠丷{啇下}_s_ud_ld]
啈	[口土{幸下}_j_b_ub]
啉	[口木木_j_f_f]
啊	[口阝丁口_j_y_ai_j]
啋	[口爫木_j_pv_f]
啌	[口穴工_j_wo_bi]
啍	[口亠口子_j_s_j_ya]
啎	[𠂉十工㇕口_ma_ed_bi_x_j]
問	[門口_xd_j]
啐	[口亠人人十_j_s_od_od_ed]
啑	[口一⺕龰_j_a_xb_ii]
啒	[口尸屮凵_j_xm_zi_zi]
啓	[户攵口_wm_mo_j]
啔	[户戈口_wm_hm_j]
啕	[口勹𠂉十凵_j_ry_ma_ed_zi]
啖	[口火火_j_uo_uo]
啗	[口⺈臼_j_r_nb]
啘	[口宀夕㔾_j_wd_rs_yyb]
啙	[止匕口口_ii_rr_j_j]
啚	[口十囗口_j_ed_jd_j]
啛	[口一{肀}女_j_a_xb_zm]
啜	[口又又又又_j_xs_xs_xs_xs]
啝	[口禾口_j_mf_j]
啞	[口亞_j_bz]
啟	[户口攵_wm_j_mo]
啠	[斤斤口_pd_pd_j]
啡	[口非_j_kc]
啢	[口一巾入入_j_a_li_oda_oda]
啣	[口𠂉一止卩_j_ma_a_ii_y]
啤	[口{卑上}十_j_nj_ed]
啥	[口人{舍下}_j_od_mi]
啦	[口扌立_j_d_su]
啧	[口龶贝_j_ci_lo]
啨	[口龶⺝_j_ci_q]
啩	[口土土卜_j_b_b_id]
啪	[口扌白_j_d_nk]
啫	[口者_j_bm]
啬	[十䒑囗口_ed_ua_jd_j]
啭	[口车二㇞丶_j_he_bd_z_s]
啮	[口齿_j_io]
啯	[口囗玉_j_jd_cs]
啰	[口罒夕_j_lk_rs]
啱	[口山石_j_ll_g]
啲	[口白勹丶_j_nk_ry_s]
啳	[口龹㔾_j_ub_yyb]
啴	[口丷日十_j_ud_k_ed]
啵	[口氵皮_j_v_xi]
啶	[口定_j_wd]
啷	[口丶{艮}阝_j_s_xo_y]
啸	[口肀{丿丨}八_j_xb_nd_o]
啹	[口尸十口_j_xm_ed_j]
啺	[口日一勹{丿丿}_j_k_a_ry_od]
啻	[亠丷冖巾口_s_ud_ww_li_j]
啼	[口亠丷冖巾_j_s_ud_ww_li]
啽	[口人一口廾_j_od_a_j_e]
啾	[口禾火_j_mf_uo]
啿	[口其㇗_j_ec_z]
喀	[口宀夂口_j_wd_rs_j]
喁	[口日冂{厶}_j_k_ld_zs]
喂	[口田{畏下}_j_ki_h]
喃	[口十{南下}_j_ed_ld]
善	[羊䒑口_uc_ua_j]
喅	[口日立_j_k_su]
喆	[士口士口_b_j_b_j]
喇	[口木口刂_j_f_j_kd]
喈	[口匕匕白_j_rr_rr_nk]
喉	[口亻ユ矢_j_n_x_ma]
喊	[口戊一口_j_hm_a_j]
喋	[口廿㇗木_j_ea_z_f]
喌	[口口⺍川_j_j_vd_nd]
喍	[口止匕木_j_ii_rr_f]
喎	[口咼_j_lj]
喏	[口艹𠂇口_j_e_gd_j]
喐	[口𠂇⺝阝_j_gd_q_y]
喑	[口立日_j_su_k]
喒	[口夊卜日_j_rs_id_k]
喓	[口覀女_j_fj_zm]
喔	[口尸至_j_xm_hb]
喕	[口丆囗ㅒ_j_g_jd_kd]
喖	[口木十口_j_f_ed_j]
喗	[口冖車_j_ww_fk]
喘	[口山而_j_ll_gl]
喙	[口彑{乑}_j_zm_gq]
喚	[口⺈{奐中}大_j_r_ld_gd]
喛	[口爫一𠂇又_j_pv_a_gd_xs]
喜	[士口䒑口_b_j_ua_j]
喝	[口日匃_j_k_ry]
喞	[口白匕卩_j_nk_rr_y]
喟	[口田⺝_j_ki_q]
喠	[口千日二_j_me_k_bd]
喡	[口{韋上}口㐄_j_x_j_mb]
喢	[口千臼_j_me_nb]
喣	[口勹口灬_j_ry_j_uo]
喤	[口白王_j_nk_c]
喥	[口广廿又_j_tg_ea_xs]
喦	[口口口山_j_j_j_ll]
喧	[口宀二日_j_wd_bd_k]
喨	[口亠口冖几_j_s_j_ww_qd]
喩	[口入一⺝巜_j_oda_a_q_zd]
喪	[十口口{畏下}_ed_j_j_h]
喫	[口丰刀大_j_ci_yd_gd]
喬	[丿大口{冋}_m_gd_j_ld]
喭	[口立丿彡_j_su_m_pd]
單	[口口日十_j_j_k_ed]
喯	[口大十廾_j_gd_ed_e]
喰	[口食_j_ox]
喱	[口厂日土_j_gg_k_b]
喲	[口糹勹丶_j_z_ry_s]
喳	[口木日一_j_f_k_a]
喴	[口戊一女_j_hm_a_zm]
喵	[口艹田_j_e_ki]
営	[⺍冖口口_vd_ww_j_j]
喷	[口十卄贝_j_ed_e_lo]
喸	[甫口匕_fb_j_rr]
喹	[口大土土_j_gd_b_b]
喺	[口亻丿糸_j_n_m_z]
喻	[口人一⺝刂_j_od_a_q_kd]
喼	[口⺈⺕心_j_r_xb_wz]
喽	[口米女_j_uf_zm]
喾	[⺍冖⺧口_vd_ww_mb_j]
喿	[口口口木_j_j_j_f]
嗀	[士冖一口殳_b_ww_a_j_qx]
嗁	[口⺁虎_j_pd_ih]
嗂	[口爫𠂉十凵_j_pv_ma_ed_zi]
嗃	[口亠口{冋}_j_s_j_ld]
嗄	[口一自夊_j_a_nl_rs]
嗅	[口自大丶_j_nl_gd_s]
嗆	[口人丶{倉中}口_j_od_s_xm_j]
嗇	[土人人囗口_b_od_od_jd_j]
嗈	[口巛口巴_j_zd_j_yia]
嗉	[口龶糸_j_ci_z]
嗊	[口工貝_j_bi_lo]
嗋	[口力力力⺝_j_ym_ym_ym_q]
嗌	[口䒑八皿_j_ua_o_lka]
嗍	[口䒑{艸左}月_j_ua_zi_q]
嗎	[口馬_j_cu]
嗏	[口艹人朩_j_e_od_f]
嗐	[口宀丰口_j_wd_ci_j]
嗑	[口土厶皿_j_b_zs_lka]
嗒	[口艹人一口_j_e_od_a_j]
嗓	[口又又又木_j_xs_xs_xs_f]
嗔	[口十{且}八_j_ed_lc_o]
嗕	[口辰寸_j_gh_ds]
嗖	[口{叟上}又_j_nb_xs]
嗗	[口骨_j_lw]
嗘	[口爫㇜厶大_j_pv_z_zs_gd]
嗙	[口亠丷冖方_j_s_ud_ww_sy]
嗚	[口烏_j_rza]
嗛	[口䒑{兼下}_j_ua_xk]
嗜	[口耂匕日_j_bm_rr_k]
嗝	[口一口{鬲下}_j_a_j_ld]
嗞	[口䒑㇜厶㇜厶_j_ua_z_zs_z_zs]
嗟	[口⺶工_j_uc_bi]
嗠	[爫子夂口_pv_ya_rs_j]
嗡	[口八厶习习_j_o_zs_yt_yt]
嗢	[口日皿_j_k_lka]
嗣	[口{扁下}㇆一口_j_ld_y_a_j]
嗤	[口屮一虫_j_zi_a_i]
嗥	[口白大十_j_nk_gd_ed]
嗦	[口十冖糸_j_ed_ww_z]
嗧	[力口人一{扁下}_ym_j_od_a_ld]
嗨	[口氵𠂉母_j_v_ma_zy]
嗩	[口⺌貝_j_ko_lo]
嗪	[口𡗗禾_j_co_mf]
嗫	[口耳又又_j_ce_xs_xs]
嗬	[口艹亻丁口_j_e_n_ai_j]
嗭	[十{且}口匕_ed_lc_j_rr]
嗮	[口日西_j_k_fj]
嗯	[口因心_j_jd_wz]
嗰	[口亻囗十口_j_n_jd_ed_j]
嗱	[口人一口手_j_od_a_j_md]
嗲	[口八乂夕夕_j_o_os_rs_rs]
嗳	[口爫冖𠂇又_j_pv_ww_gd_xs]
嗴	[口⺶乚厶_j_uc_z_zs]
嗵	[口辶龴{甬下}_j_w_xs_ld]
嗶	[口日卄キ_j_k_e_bi]
嗷	[口龶{万下}攵_j_ci_ym_mo]
嗸	[龶{万下}攵口_ci_ym_mo_j]
嗹	[口辶車_j_w_fk]
嗺	[口山隹_j_ll_ni]
嗻	[口广廿灬_j_tg_ea_uo]
嗼	[口艹日大_j_e_k_gd]
嗽	[口木口欠_j_f_j_ro]
嗾	[口方𠂉矢_j_sy_ma_ma]
嗿	[口人丶㇇貝_j_od_s_x_lo]
嘀	[口亠丷{啇下}_j_s_ud_ld]
嘁	[口戊⺊一小_j_hm_id_a_ko]
嘂	[口口丩口口_j_j_zi_j_j]
嘃	[口广肀{冃}_j_tg_xb_ld]
嘄	[口{鳥}木_j_rz_f]
嘅	[口{艮}{匸}儿_j_xo_h_rd]
嘆	[口廿口二人_j_ea_j_bd_od]
嘇	[口厶厶厶人彡_j_zs_zs_zs_od_pd]
嘈	[口卄日日_j_e_k_k]
嘉	[士口䒑力口_b_j_ua_ym_j]
嘊	[口山厂土土_j_ll_gg_b_b]
嘋	[口耂子攵_j_bm_ya_mo]
嘌	[口覀示_j_fj_bk]
嘍	[口{婁上}女_j_kj_zm]
嘎	[口一自戈_j_a_nl_hm]
嘏	[十口Ｐ二コ又_ed_j_x_bd_x_xs]
嘐	[口习习人彡_j_yt_yt_od_pd]
嘑	[口虍丿{乎下}_j_ih_m_ua]
嘒	[口丰丰⺕_j_ci_ci_xb]
嘓	[口囗戈口一_j_jd_hm_j_a]
嘔	[口匸口口口_j_h_j_j_j]
嘕	[口一止一㇉灬_j_a_ii_a_z_uo]
嘖	[口龶貝_j_ci_lo]
嘗	[⺌冖口匕日_ko_ww_j_rr_k]
嘘	[口虍业_j_ih_ku]
嘙	[口氵皮女_j_v_xi_zm]
嘚	[口彳日一寸_j_oi_k_a_ds]
嘛	[口广木木_j_tg_f_f]
嘜	[口木人人夊_j_f_od_od_rs]
嘝	[口⺈{用}⺀十_j_r_ld_td_ed]
嘞	[口革力_j_ee_ym]
嘟	[口者阝_j_bm_y]
嘠	[口一自冖戈_j_a_nl_ww_hm]
嘡	[口⺌冖口土_j_ko_ww_j_b]
嘢	[口日土龴乛亅_j_k_b_xs_x_i]
嘣	[口山月月_j_ll_q_q]
嘤	[口贝贝女_j_lo_lo_zm]
嘥	[口彳止龰_j_oi_ii_ii]
嘦	[口八覀女_j_o_fj_zm]
嘧	[口宀心丿山_j_wd_wz_m_ll]
嘨	[口⺕{丿丨}米_j_xb_nd_uf]
嘩	[口艹一卄キ_j_e_a_e_bi]
嘪	[口罒貝_j_lk_lo]
嘫	[口{炙上}大丶灬_j_rs_gd_s_uo]
嘬	[口日耳又_j_k_ce_xs]
嘭	[口士口䒑彡_j_b_j_ua_pd]
嘮	[口火火冖力_j_uo_uo_ww_ym]
嘯	[口肀{淵右}_j_xb_nd]
嘰	[口㇜厶㇜厶戈人_j_z_zs_z_zs_hm_od]
嘱	[口尸丿虫冂_j_xm_m_i_ld]
嘲	[口十日十月_j_ed_k_ed_q]
嘳	[口口丨一貝_j_j_i_a_lo]
嘴	[口止匕⺈{用}_j_ii_rr_r_ld]
嘵	[口土土土兀_j_b_b_b_gr]
嘶	[口其斤_j_ec_pd]
嘷	[口自∷十_j_nl_v_ed]
嘸	[口𠂉{無中}灬_j_ma_ea_uo]
嘹	[口大丷日小_j_gd_ud_k_ko]
嘺	[口丿大口{冋}_j_m_gd_j_ld]
嘻	[口士口䒑口_j_b_j_ua_j]
嘼	[口口田一口_j_j_ki_a_j]
嘽	[口口口日十_j_j_j_k_ed]
嘾	[口覀日十_j_fj_k_ed]
嘿	[口{柬中}土灬_j_lk_b_uo]
噀	[口巳巳龷八_j_yyb_yyb_ea_o]
噁	[口亞心_j_bz_wz]
噂	[口丷酉寸_j_ud_fd_ds]
噃	[口釆田_j_pf_ki]
噄	[口丰刀糸_j_ci_yd_z]
噅	[口爫丿乛乛㇆灬_j_pv_m_x_x_y_uo]
噆	[口{匸}儿{匸}儿日_j_h_rd_h_rd_k]
噇	[口立日土_j_su_k_b]
噈	[口亠口小尤_j_s_j_ko_gr]
噉	[口乛耳攵_j_x_ce_mo]
噊	[口龴乛亅丿{冏}_j_xs_x_i_m_ld]
噋	[口亠口子攵_j_s_j_ya_mo]
噌	[口丷{曾中}日_j_ud_lk_k]
噍	[口隹灬_j_ni_uo]
噎	[口士冖一口䒑_j_b_ww_a_j_ua]
噏	[口人一口习习_j_od_a_j_yt_yt]
噐	[口口工口口_j_j_bi_j_j]
噑	[口白∷十_j_nk_v_ed]
噒	[口米夕㐄_j_uf_rs_mb]
噓	[口虍{业}_j_ih_ku]
噔	[口癶一口䒑_j_xs_a_j_ua]
噕	[爫丿乛乛㇆灬口_pv_m_x_x_y_uo_j]
噖	[口王王人丶㇇_j_c_c_od_s_x]
噗	[口业{菐下}_j_ku_uc]
噘	[口厂䒑{艸左}欠_j_gg_ua_zi_ro]
噙	[口人亠㐅凵冂厶_j_od_s_os_zi_ld_zs]
噚	[口⺕工口寸_j_xb_bi_j_ds]
噛	[口止米凵_j_ii_uf_zi]
噜	[口鱼日_j_r_k]
噝	[口糹糸_j_z_z]
噞	[口人一口口人人_j_od_a_j_j_od_od]
噟	[广亻隹口_tg_n_ni_j]
噠	[口辶土羊_j_w_b_uc]
噡	[口⺈厂八言_j_r_gg_o_s]
噢	[口{向框}米大_j_nl_uf_gd]
噣	[口罒勹虫_j_lk_ry_i]
噤	[口木木示_j_f_f_bk]
噥	[口日〢辰_j_k_kd_gh]
噦	[口止戊一{小}_j_ii_hm_a_ko]
噧	[口艹日冂{厶}_j_e_k_ld_zs]
器	[口口大丶口口_j_j_gd_s_j_j]
噩	[王口口口口_c_j_j_j_j]
噪	[口口口口木_j_j_j_j_f]
